YEAR,WEEK,NUMBER,RESULT
2007,32,50,0
2014,32,3,0
2013,39,8,0
2017,30,1,0
2016,25,50,0
2013,25,4,0
2016,32,21,0
2007,34,50,0
2007,34,50,0
2016,33,5,0
2012,33,12,0
2017,37,8,0
2007,37,3,0
2009,37,6,0
2016,39,21,0
2011,27,5,0
2010,31,3,0
2009,27,11,0
2007,33,50,0
2016,30,46,1
2014,23,13,0
2016,36,36,0
2016,27,1,0
2017,24,4,0
2011,35,2,0
2011,38,5,0
2007,27,2,0
2008,29,1,0
2011,32,7,0
2017,28,2,1
2009,20,1,0
2013,34,3,0
2011,28,4,0
2007,29,21,1
2007,39,10,0
2009,32,1,0
2012,26,1,0
2012,27,5,0
2008,28,8,0
2017,25,16,0
2014,31,2,0
2007,31,10,0
2014,31,25,0
2014,28,50,0
2011,26,4,0
2014,36,5,0
2007,26,10,0
2009,27,1,0
2007,29,1,0
2013,29,1,0
2013,24,4,0
2012,26,1,0
2012,32,46,0
2011,27,14,0
2012,24,9,0
2008,38,16,0
2007,31,1,0
2016,36,8,0
2008,28,3,0
2018,29,3,0
2010,27,50,0
2010,30,1,0
2007,39,2,0
2010,35,10,1
2008,27,1,0
2014,33,25,0
2011,36,1,0
2015,22,1,0
2016,36,13,0
2014,39,1,0
2008,39,20,0
2013,24,20,0
2009,30,14,0
2014,31,34,0
2011,36,10,0
2010,39,1,0
2007,34,3,0
2013,26,2,0
2012,28,1,0
2009,27,5,0
2009,26,1,0
2014,35,50,1
2013,31,1,0
2008,26,1,0
2009,29,19,0
2007,36,25,0
2011,30,4,0
2010,27,1,0
2016,25,1,0
2018,38,21,0
2015,31,1,0
2011,29,3,0
2014,32,35,1
2011,38,1,0
2008,26,2,0
2016,37,46,0
2013,38,4,0
2011,23,1,0
2011,24,2,0
2007,30,15,0
2007,39,1,0
2010,28,4,0
2010,25,22,0
2012,30,19,0
2014,34,40,0
2015,38,2,0
2007,35,5,0
2018,35,2,0
2018,26,23,0
2010,30,18,0
2007,36,2,0
2013,39,4,1
2016,34,34,1
2008,32,3,0
2009,36,2,0
2013,39,7,0
2012,30,15,0
2012,34,2,0
2013,31,7,0
2014,40,2,0
2015,28,17,0
2015,33,13,1
2013,28,23,0
2009,25,8,0
2012,36,19,0
2012,28,4,0
2012,27,50,1
2012,31,7,0
2007,25,2,0
2018,28,6,0
2009,25,1,0
2011,28,4,0
2007,29,3,0
2014,25,13,0
2014,40,1,0
2008,23,1,0
2016,26,3,0
2016,25,1,0
2015,26,1,0
2013,37,1,0
2018,27,3,1
2012,37,3,0
2008,29,2,0
2012,30,1,0
2009,24,1,0
2010,38,2,0
2010,28,15,0
2011,24,4,0
2014,33,44,0
2013,33,17,0
2013,38,10,0
2016,28,19,0
2007,29,50,0
2010,27,39,0
2010,28,4,0
2008,36,4,0
2009,35,2,0
2011,33,8,0
2011,36,1,0
2008,38,2,0
2007,26,7,0
2007,38,50,0
2013,27,10,0
2009,24,3,0
2012,34,22,1
2015,23,5,0
2008,32,50,0
2010,29,5,0
2014,28,28,0
2016,36,49,0
2009,35,2,0
2012,24,2,0
2015,36,2,0
2007,32,50,0
2007,30,2,0
2010,31,3,0
2013,37,5,0
2013,36,13,1
2011,31,10,0
2013,39,8,0
2018,24,8,0
2009,29,50,0
2014,27,1,0
2014,34,5,0
2008,24,1,0
2011,36,1,0
2012,30,16,0
2009,28,1,0
2012,35,1,0
2015,24,11,0
2014,25,9,0
2007,29,50,0
2012,31,6,0
2007,29,2,0
2007,39,13,0
2015,22,2,0
2007,31,50,0
2010,35,4,0
2014,24,4,0
2010,30,3,0
2014,31,13,0
2016,29,10,0
2009,21,22,0
2016,39,9,0
2013,25,2,0
2016,33,46,0
2018,37,1,0
2012,29,50,0
2012,24,3,0
2007,34,3,1
2013,39,21,0
2014,34,47,0
2012,30,29,0
2017,28,2,0
2016,34,6,0
2011,34,13,0
2011,29,20,0
2018,33,8,0
2016,37,2,0
2007,32,41,1
2018,27,3,0
2010,33,1,0
2015,37,1,0
2018,33,22,1
2010,37,3,0
2015,32,2,0
2012,39,1,0
2011,28,50,0
2014,32,7,0
2017,36,3,0
2014,24,50,0
2018,33,4,1
2013,35,9,1
2012,31,3,0
2007,26,2,0
2018,28,1,0
2007,37,2,0
2008,37,4,1
2016,30,1,0
2018,33,1,0
2013,24,50,0
2010,34,1,0
2010,27,4,0
2015,29,1,0
2014,31,3,0
2007,34,50,0
2017,32,3,0
2013,33,6,0
2013,25,16,0
2011,26,24,0
2007,29,4,0
2007,36,2,0
2017,29,1,0
2011,27,5,0
2009,27,4,0
2017,31,1,0
2008,36,1,0
2014,30,1,0
2007,34,15,0
2007,34,1,0
2018,25,37,0
2014,36,7,0
2012,24,1,0
2018,25,1,0
2011,37,2,0
2018,31,1,0
2007,34,50,0
2015,36,1,0
2014,28,33,0
2016,27,50,0
2016,36,48,0
2009,21,9,0
2015,29,5,0
2007,32,50,1
2008,34,34,1
2016,27,5,0
2018,28,5,0
2010,32,9,0
2018,33,7,0
2012,33,4,0
2016,28,1,0
2014,39,15,0
2011,25,3,0
2018,29,10,1
2015,36,4,0
2012,31,50,1
2018,32,2,0
2014,38,6,0
2014,40,1,0
2008,33,16,0
2008,34,50,0
2009,22,6,0
2010,31,1,0
2012,30,16,0
2016,27,1,0
2014,35,29,1
2011,26,47,0
2014,27,12,0
2013,32,25,0
2008,34,50,0
2012,25,29,0
2014,34,1,0
2007,33,25,1
2016,32,6,1
2013,35,50,0
2017,28,1,0
2016,34,50,1
2010,39,1,0
2014,30,3,0
2009,21,4,0
2015,34,1,0
2007,28,3,0
2012,38,4,0
2007,28,50,0
2008,38,1,0
2010,36,23,0
2008,34,3,0
2014,32,47,0
2012,31,3,1
2017,33,2,0
2007,30,9,0
2008,27,8,0
2011,29,2,0
2007,32,12,0
2018,35,3,0
2007,25,1,0
2015,31,1,0
2011,28,14,0
2015,32,7,0
2014,37,4,0
2008,29,2,0
2008,26,3,0
2007,31,50,0
2014,32,26,0
2009,37,1,0
2018,28,2,0
2011,25,1,0
2011,29,7,0
2011,27,1,0
2014,33,16,0
2016,32,8,0
2018,31,28,1
2017,39,5,0
2017,31,11,0
2014,27,8,0
2014,29,9,0
2014,25,3,0
2011,36,1,0
2007,34,2,0
2018,36,9,0
2011,34,17,0
2009,22,3,0
2014,34,26,0
2009,28,18,0
2013,25,23,0
2008,28,1,0
2011,33,5,0
2013,34,3,1
2018,24,1,0
2007,37,2,0
2012,35,1,0
2017,34,50,0
2014,25,40,0
2008,32,10,1
2017,32,2,0
2017,29,2,0
2015,36,7,0
2016,33,14,1
2015,37,3,0
2016,31,3,0
2014,27,7,0
2008,32,22,0
2018,36,4,0
2014,39,3,0
2013,33,24,1
2015,24,4,0
2011,32,1,0
2011,30,48,0
2018,34,1,0
2014,31,14,0
2009,31,5,0
2016,34,6,0
2010,28,6,0
2015,32,5,0
2016,33,12,0
2013,39,5,0
2013,23,1,0
2009,32,1,0
2017,39,1,0
2009,31,9,0
2015,22,2,0
2012,31,1,0
2011,28,1,0
2008,28,1,0
2013,38,2,0
2016,31,2,0
2008,36,50,1
2016,37,6,0
2018,36,1,0
2016,30,50,1
2007,31,1,0
2010,27,1,0
2014,35,41,0
2015,25,5,0
2018,30,2,0
2012,39,6,0
2007,34,5,1
2012,39,2,0
2013,34,16,0
2014,35,17,1
2018,28,25,1
2007,39,9,0
2016,36,31,0
2015,37,2,0
2008,32,3,0
2015,30,25,0
2014,28,9,0
2007,33,14,0
2007,28,19,0
2007,39,1,0
2013,31,20,1
2007,28,19,0
2012,35,2,0
2013,23,2,0
2014,30,2,0
2012,34,1,0
2009,31,3,0
2011,35,7,0
2007,32,24,0
2018,28,4,0
2011,32,1,0
2010,26,6,0
2007,23,1,0
2010,36,1,0
2008,36,50,0
2014,27,1,0
2013,28,30,0
2012,36,2,0
2011,24,2,0
2016,32,37,1
2010,39,1,0
2014,26,2,0
2015,31,8,0
2017,31,4,1
2014,26,1,0
2009,27,50,0
2012,27,46,0
2007,21,1,0
2009,30,2,0
2014,38,28,0
2013,27,25,0
2011,29,18,0
2012,27,18,0
2018,33,9,0
2016,34,30,1
2014,29,5,0
2014,38,12,1
2007,26,4,0
2016,35,35,0
2009,26,11,0
2015,28,3,0
2008,23,3,0
2011,26,2,0
2018,26,16,0
2013,34,4,0
2007,38,15,0
2017,39,5,0
2014,34,2,0
2013,30,16,0
2011,33,3,0
2017,26,4,0
2010,26,4,0
2017,27,4,0
2011,30,1,0
2007,30,4,0
2014,24,43,0
2007,22,1,0
2011,27,1,0
2010,27,45,0
2007,37,4,0
2007,27,1,0
2011,27,2,0
2018,38,2,0
2010,36,1,0
2008,34,2,0
2007,33,2,0
2013,23,1,0
2018,26,6,1
2018,23,2,0
2015,30,28,0
2014,40,1,0
2015,25,2,0
2012,36,8,0
2016,32,16,1
2016,30,12,0
2013,36,1,0
2013,24,4,0
2011,35,2,0
2010,31,2,0
2011,28,3,0
2017,31,4,0
2018,35,28,1
2008,34,27,0
2010,26,5,0
2007,39,15,0
2017,32,2,0
2010,32,1,0
2012,36,9,0
2012,30,36,1
2008,25,1,0
2015,33,12,0
2008,25,3,0
2016,30,7,0
2016,37,11,1
2016,37,30,1
2008,34,27,0
2007,32,20,0
2010,35,4,0
2011,25,1,0
2012,39,1,0
2017,39,2,0
2007,28,27,0
2018,29,8,0
2009,36,3,0
2007,30,5,0
2015,31,24,0
2013,38,7,0
2008,38,3,0
2011,26,1,0
2008,32,50,0
2008,30,1,0
2017,24,3,0
2012,33,5,0
2015,24,6,0
2007,39,8,1
2014,39,5,0
2009,23,16,0
2013,24,8,0
2008,27,2,0
2011,34,1,0
2017,35,6,0
2009,24,1,0
2015,38,3,0
2008,34,24,0
2007,22,1,0
2010,36,6,0
2007,32,6,0
2015,28,3,0
2008,27,1,0
2007,28,1,0
2009,28,30,0
2018,24,3,0
2012,29,28,0
2007,37,50,0
2015,32,4,0
2007,33,7,0
2008,31,1,0
2007,31,40,0
2009,26,24,0
2014,40,7,0
2007,30,43,0
2007,24,1,0
2007,21,1,0
2011,30,3,0
2007,31,8,0
2018,25,1,0
2016,34,2,0
2010,34,1,0
2012,35,2,0
2007,37,1,0
2014,32,46,0
2007,29,8,0
2010,30,10,0
2008,35,1,0
2012,31,50,1
2015,22,4,0
2015,34,29,0
2011,35,8,0
2017,35,3,0
2016,37,7,0
2013,34,10,0
2013,33,32,0
2016,34,2,0
2009,33,2,0
2008,38,1,0
2007,33,2,0
2012,33,8,0
2011,29,6,0
2018,24,3,0
2009,25,50,0
2007,30,20,0
2010,30,13,0
2011,34,1,0
2008,26,4,0
2010,34,1,0
2015,23,9,0
2017,36,3,0
2007,28,1,0
2015,34,1,0
2007,38,13,0
2008,24,1,0
2007,32,7,0
2008,28,2,0
2014,37,6,0
2018,28,8,1
2009,26,2,0
2017,26,1,0
2015,29,3,0
2013,27,1,0
2017,29,12,0
2016,23,1,0
2016,34,3,0
2018,36,4,0
2015,31,2,0
2011,35,1,0
2013,27,11,0
2016,33,50,1
2012,25,46,0
2011,37,3,0
2010,29,8,0
2007,35,50,0
2018,35,1,0
2009,29,1,0
2012,33,4,1
2008,32,1,0
2014,28,32,0
2010,37,1,0
2012,30,1,0
2008,28,5,0
2007,30,1,0
2011,25,1,0
2008,31,4,0
2009,32,3,0
2014,32,29,0
2012,29,35,1
2013,28,4,0
2018,26,9,0
2007,35,50,0
2014,36,27,0
2012,27,50,0
2017,32,2,0
2009,23,2,0
2014,31,48,1
2010,34,3,0
2007,31,50,0
2017,31,31,0
2012,26,14,0
2011,28,1,0
2016,25,17,0
2014,32,13,0
2015,39,1,0
2007,37,2,0
2018,29,6,0
2012,23,2,0
2014,23,6,0
2010,34,2,0
2016,35,2,0
2013,35,24,0
2015,28,2,0
2012,34,1,0
2010,23,5,0
2015,34,2,0
2015,36,7,0
2009,26,1,0
2018,37,1,0
2009,38,3,0
2007,31,50,0
2016,25,1,0
2013,35,17,0
2007,29,2,0
2007,37,2,0
2011,30,1,0
2017,24,10,0
2017,24,5,0
2014,31,1,0
2012,23,7,0
2013,31,2,0
2012,33,2,0
2010,34,1,0
2011,38,2,0
2018,29,3,0
2013,34,5,0
2018,32,2,0
2009,38,4,0
2011,29,1,0
2016,32,3,0
2010,36,7,0
2017,28,7,0
2018,38,3,0
2012,30,1,0
2010,34,5,0
2014,40,11,0
2007,31,5,0
2007,31,1,0
2007,33,50,0
2008,32,1,0
2017,28,50,0
2012,26,4,0
2011,31,13,0
2012,29,9,0
2009,29,1,0
2012,33,1,0
2007,28,50,0
2007,35,6,0
2008,36,50,1
2007,25,1,0
2016,33,1,0
2014,34,44,0
2017,28,7,0
2010,30,1,0
2007,29,8,0
2012,32,6,0
2012,30,39,1
2009,27,1,0
2015,30,3,0
2010,26,15,0
2007,34,1,0
2009,25,1,0
2018,28,1,0
2016,34,4,1
2008,27,1,0
2015,28,5,0
2011,34,46,1
2008,29,10,0
2014,35,26,0
2018,31,36,0
2015,26,14,0
2009,33,1,0
2015,24,43,0
2017,24,1,0
2012,30,29,1
2017,39,2,0
2017,38,1,0
2012,34,2,0
2012,26,28,0
2011,26,2,0
2016,32,10,1
2011,36,1,0
2016,36,48,0
2016,38,2,0
2015,23,2,0
2016,32,11,0
2011,29,7,0
2009,28,2,0
2011,31,4,0
2008,26,16,0
2011,30,4,0
2007,33,50,0
2009,23,2,0
2008,26,8,0
2007,33,50,0
2014,36,4,0
2014,31,11,0
2013,26,7,0
2012,25,2,0
2012,29,1,0
2009,23,34,0
2014,25,9,0
2012,27,50,0
2014,32,50,0
2008,35,48,0
2009,38,16,0
2012,28,48,0
2007,27,3,0
2018,23,33,0
2009,26,4,0
2013,34,3,0
2012,34,1,0
2007,29,2,0
2014,36,23,1
2016,37,23,0
2008,34,50,0
2010,30,9,0
2011,25,8,0
2008,34,2,0
2013,37,45,0
2007,29,4,0
2013,39,5,0
2014,33,12,0
2014,29,2,0
2008,27,2,0
2014,33,28,0
2013,38,13,0
2014,29,6,0
2017,39,4,0
2018,30,19,0
2017,39,8,0
2014,35,38,1
2013,24,8,0
2014,33,27,0
2009,29,9,0
2012,39,2,0
2017,39,4,0
2012,31,27,0
2008,29,3,0
2014,31,15,0
2014,28,5,0
2010,37,2,1
2009,35,1,0
2009,27,2,0
2010,31,16,0
2012,26,10,0
2015,34,10,1
2007,32,50,1
2013,29,30,0
2014,30,1,0
2014,26,11,0
2013,38,2,0
2007,34,50,1
2011,36,1,0
2013,25,50,0
2015,36,4,0
2014,24,7,0
2011,33,3,0
2014,25,1,0
2011,32,2,0
2007,31,50,0
2018,29,1,0
2012,36,2,0
2018,24,5,0
2018,37,1,0
2015,23,2,0
2007,32,32,0
2013,36,15,1
2007,38,45,0
2012,28,2,0
2007,32,2,0
2012,29,50,0
2007,33,23,1
2016,26,1,0
2009,27,1,0
2012,38,15,0
2008,32,16,0
2007,29,1,0
2010,28,6,0
2012,29,50,1
2015,25,2,0
2017,29,19,0
2013,32,37,0
2017,27,1,0
2010,33,11,0
2016,32,2,0
2012,28,2,0
2012,38,2,0
2007,34,3,0
2010,34,1,0
2007,27,1,0
2012,38,2,0
2009,24,1,0
2018,23,1,0
2009,29,1,0
2018,25,19,0
2007,25,3,0
2009,30,6,0
2014,39,2,0
2013,32,26,0
2010,28,20,0
2013,31,5,0
2011,32,12,0
2014,40,6,0
2007,38,3,0
2011,29,7,0
2009,31,32,0
2017,35,5,0
2012,27,15,0
2016,24,19,0
2010,33,1,0
2008,33,1,0
2018,23,2,0
2012,30,50,1
2017,37,1,0
2013,31,8,0
2010,33,1,0
2013,33,47,1
2014,35,2,0
2014,36,3,0
2007,33,7,0
2018,34,3,0
2009,31,2,0
2014,35,24,0
2013,28,50,0
2010,24,2,0
2013,26,11,0
2018,23,2,0
2018,28,1,0
2008,39,1,0
2012,38,11,0
2016,33,12,1
2009,25,1,0
2008,29,7,0
2011,23,1,0
2008,34,49,0
2007,29,1,0
2007,33,8,0
2010,36,1,0
2009,31,1,0
2008,35,7,0
2014,32,6,0
2016,35,9,0
2007,30,1,0
2009,34,1,0
2012,39,1,0
2014,31,36,0
2014,31,8,0
2008,28,1,0
2014,35,14,0
2018,29,6,0
2013,33,29,1
2012,34,1,0
2013,26,4,0
2015,30,7,0
2014,33,38,0
2013,33,8,0
2010,33,1,0
2017,29,8,0
2009,23,7,0
2011,36,1,0
2016,31,14,1
2015,25,4,0
2007,39,4,0
2010,28,24,0
2016,29,3,0
2008,29,8,0
2013,29,30,0
2017,29,9,1
2007,33,4,1
2015,29,9,0
2011,39,19,0
2008,36,50,1
2011,38,2,0
2007,28,50,0
2008,29,1,0
2017,24,4,0
2017,36,1,0
2013,23,1,0
2007,24,19,0
2008,39,9,0
2008,30,1,0
2007,28,50,0
2012,32,5,0
2017,28,50,0
2013,38,12,0
2010,36,1,0
2010,28,23,0
2013,31,13,0
2010,24,14,0
2015,30,2,0
2018,26,18,0
2012,39,4,0
2018,31,7,0
2015,39,1,0
2018,31,28,0
2007,35,50,0
2008,23,13,0
2014,31,2,0
2012,31,2,0
2008,32,25,0
2014,35,5,0
2013,36,50,1
2011,23,2,0
2009,37,1,0
2010,32,8,0
2007,28,50,0
2009,21,3,0
2014,25,1,0
2018,32,50,1
2014,39,2,0
2012,28,1,0
2018,32,2,0
2011,23,2,0
2011,35,6,0
2013,27,3,0
2008,34,49,1
2014,40,1,0
2009,22,2,0
2011,29,11,0
2012,27,50,0
2008,32,50,0
2007,29,1,0
2011,39,2,0
2015,37,4,0
2010,26,18,0
2007,30,6,0
2013,26,1,0
2017,30,3,0
2012,35,9,1
2012,29,3,0
2014,29,1,0
2008,36,1,0
2013,31,38,0
2017,24,1,0
2011,30,14,0
2011,29,13,0
2010,27,47,0
2016,24,26,0
2011,31,1,0
2011,30,1,0
2016,35,16,0
2011,38,2,0
2018,34,1,0
2007,37,1,0
2013,31,1,0
2007,35,48,0
2016,33,4,1
2011,34,1,0
2013,33,7,0
2011,30,5,0
2012,28,16,0
2010,27,2,0
2012,34,8,0
2007,35,1,0
2011,32,1,0
2007,27,2,0
2010,29,3,0
2013,26,9,0
2010,39,1,0
2008,23,2,0
2007,29,1,0
2008,35,24,0
2010,30,1,0
2017,32,3,0
2013,36,36,1
2011,31,1,0
2011,29,1,0
2008,31,1,0
2010,25,1,0
2011,36,5,0
2013,30,22,0
2010,33,1,0
2012,38,1,0
2014,35,50,1
2012,29,21,1
2012,35,5,0
2012,30,19,1
2009,28,4,0
2008,36,50,1
2015,28,2,0
2014,37,5,0
2009,21,8,0
2007,31,50,1
2010,38,23,0
2011,30,1,0
2009,39,1,0
2018,34,15,0
2013,28,24,0
2009,21,8,0
2007,32,50,0
2007,32,50,0
2007,35,50,0
2013,37,30,0
2014,33,2,0
2007,39,2,0
2018,37,4,0
2009,25,12,0
2018,30,11,0
2013,31,3,0
2007,35,21,1
2010,33,7,0
2014,33,9,0
2009,23,2,0
2014,33,6,0
2015,39,5,0
2011,36,1,0
2007,23,2,0
2012,25,13,0
2008,34,47,0
2014,40,3,0
2007,35,13,1
2013,29,48,0
2018,30,4,0
2013,27,12,0
2018,31,3,0
2016,31,10,0
2007,39,31,0
2018,35,15,0
2017,35,3,0
2008,23,1,0
2008,35,1,0
2017,31,14,1
2013,28,50,0
2014,25,37,0
2013,29,43,0
2012,24,2,0
2010,29,4,0
2009,22,2,0
2009,27,2,0
2016,30,10,0
2007,33,50,0
2017,30,5,0
2013,38,10,1
2013,27,2,0
2017,33,4,0
2009,26,14,0
2009,24,1,0
2015,32,8,0
2016,37,5,0
2010,35,1,0
2016,36,50,1
2011,37,14,0
2007,28,6,0
2014,31,10,0
2010,37,1,0
2012,39,1,0
2011,27,17,0
2014,25,45,0
2016,34,14,0
2016,33,48,0
2008,37,3,0
2008,28,1,0
2013,28,26,0
2011,38,5,0
2007,25,2,0
2011,28,6,0
2016,25,50,0
2008,28,1,0
2009,27,1,0
2008,37,8,0
2013,23,1,0
2007,30,11,0
2014,35,4,0
2017,38,1,0
2013,31,46,1
2008,31,2,0
2007,37,5,0
2010,29,10,0
2008,34,50,0
2007,31,23,0
2013,34,7,0
2017,35,13,0
2010,33,1,0
2018,26,9,0
2014,38,6,0
2017,29,1,0
2018,31,50,1
2014,39,4,0
2014,36,5,0
2010,29,5,0
2014,33,50,0
2007,29,50,0
2010,30,1,0
2011,35,16,0
2011,37,1,0
2009,30,10,0
2013,33,14,0
2010,36,19,0
2011,28,5,0
2011,37,1,0
2017,28,5,0
2009,38,1,0
2011,23,5,0
2012,29,3,0
2010,30,10,0
2007,32,42,0
2007,26,3,0
2015,32,2,0
2011,28,2,0
2015,39,1,0
2012,38,13,0
2009,29,1,0
2016,35,32,0
2018,33,4,0
2010,26,17,0
2008,34,3,0
2012,34,2,0
2012,27,12,0
2010,38,4,0
2011,35,1,0
2012,37,15,0
2010,38,1,0
2007,27,50,0
2010,34,2,0
2011,29,2,0
2018,23,2,0
2007,33,13,0
2014,38,15,0
2013,24,20,0
2007,31,50,0
2016,36,33,0
2007,32,2,0
2018,27,1,0
2011,28,6,0
2016,26,1,0
2013,26,1,0
2007,27,1,0
2016,23,6,0
2011,36,4,0
2013,24,25,0
2011,37,13,0
2012,31,3,0
2008,35,5,0
2008,28,6,0
2015,28,10,0
2011,32,1,0
2012,29,10,1
2008,39,1,0
2007,27,1,0
2007,34,50,0
2008,28,1,0
2017,30,2,0
2012,30,13,1
2009,27,1,0
2014,34,24,0
2017,35,3,0
2015,35,3,0
2014,25,23,0
2007,23,1,0
2008,38,2,0
2010,34,1,0
2010,31,6,0
2012,28,3,0
2017,39,37,0
2009,21,1,0
2014,25,1,0
2017,38,1,0
2010,31,2,0
2017,29,4,0
2008,27,1,0
2018,39,2,0
2016,38,17,0
2008,31,13,1
2018,27,7,0
2010,35,1,0
2016,25,1,0
2008,31,50,0
2017,29,1,0
2012,31,50,0
2011,34,3,0
2017,33,1,0
2014,37,1,0
2016,39,9,0
2008,25,2,0
2010,28,41,0
2011,33,1,0
2015,39,1,0
2015,34,2,0
2011,30,7,0
2010,29,4,0
2012,31,2,0
2014,34,1,0
2010,32,3,0
2013,29,50,0
2018,37,8,0
2016,33,50,1
2013,25,2,0
2013,32,4,1
2009,30,8,0
2008,38,8,0
2007,35,1,0
2018,29,13,0
2013,29,21,0
2018,23,8,0
2012,25,3,0
2014,23,24,0
2007,39,3,0
2013,26,7,0
2018,26,15,0
2010,36,1,0
2016,39,10,0
2013,31,2,0
2012,23,1,0
2016,38,1,0
2017,23,11,0
2008,34,2,0
2011,27,43,0
2017,35,32,0
2010,36,6,1
2008,36,9,0
2016,38,17,0
2007,29,33,0
2014,27,22,0
2010,29,50,0
2007,37,2,0
2010,39,2,0
2009,24,6,0
2010,29,1,0
2010,35,4,0
2011,29,23,0
2013,32,3,0
2010,35,1,0
2007,32,12,0
2012,30,50,1
2007,29,1,0
2016,39,22,0
2016,30,50,0
2014,31,28,0
2016,33,7,0
2008,35,50,0
2014,28,47,0
2007,38,3,0
2014,33,5,0
2013,34,4,0
2016,24,1,0
2007,22,1,0
2017,35,50,0
2009,27,6,0
2017,33,13,0
2014,33,2,0
2007,35,50,0
2012,25,1,0
2010,31,1,0
2007,26,1,0
2016,26,15,0
2010,24,36,0
2007,34,3,0
2017,31,3,0
2009,30,4,0
2016,27,4,0
2016,28,34,0
2017,39,2,0
2017,39,2,0
2014,35,11,0
2014,34,26,0
2009,36,50,0
2012,32,9,0
2009,22,1,0
2011,38,12,0
2010,38,3,0
2008,33,31,0
2013,26,1,0
2009,32,6,0
2015,27,3,0
2011,38,1,0
2010,25,1,0
2007,29,32,0
2007,37,1,0
2014,27,50,0
2010,30,6,0
2018,30,8,0
2017,26,1,0
2009,36,1,0
2017,34,1,0
2016,36,39,1
2011,27,7,0
2014,27,47,0
2007,34,50,0
2010,25,50,0
2008,33,1,0
2014,25,13,0
2017,37,3,0
2017,29,4,0
2008,27,12,0
2016,38,34,0
2010,30,2,0
2011,34,3,0
2014,31,7,0
2018,28,13,0
2007,24,2,0
2018,37,1,0
2013,31,3,0
2007,30,2,0
2009,29,3,0
2015,22,2,0
2008,35,43,0
2013,35,3,0
2017,38,9,0
2008,27,2,0
2009,36,4,0
2011,34,1,0
2014,32,7,0
2014,23,30,0
2013,32,7,0
2007,32,1,0
2008,31,6,0
2017,39,1,0
2015,36,7,0
2011,37,3,0
2014,28,37,0
2007,28,50,0
2011,25,1,0
2007,29,2,0
2014,26,4,0
2009,25,50,0
2014,25,6,0
2014,30,10,0
2018,39,1,0
2007,25,2,0
2013,34,16,0
2011,39,1,0
2012,37,1,0
2008,38,1,0
2008,25,2,0
2007,27,14,0
2018,35,1,0
2014,25,14,0
2011,25,19,0
2014,33,20,0
2017,29,2,0
2016,34,50,1
2007,27,2,0
2018,37,1,0
2007,35,1,0
2009,25,1,0
2013,25,19,0
2018,24,2,0
2007,32,3,0
2008,25,11,0
2007,35,12,0
2008,39,5,0
2009,38,4,0
2007,31,22,0
2007,31,50,0
2007,33,6,0
2007,31,2,0
2012,36,11,0
2017,38,1,0
2014,27,26,0
2007,31,50,0
2015,22,6,0
2015,23,7,0
2011,33,8,0
2017,23,14,0
2008,35,19,0
2016,31,35,1
2011,27,6,0
2013,28,2,0
2012,31,50,1
2014,31,1,0
2016,33,6,1
2011,26,2,0
2015,36,24,1
2007,30,1,0
2014,39,5,0
2015,28,5,0
2007,29,1,0
2012,31,17,1
2012,24,2,0
2007,26,18,0
2010,30,1,0
2014,36,3,0
2017,38,18,0
2009,27,4,0
2008,27,4,0
2018,25,5,0
2013,27,4,0
2014,34,18,0
2014,27,4,0
2010,34,1,0
2010,37,1,0
2017,33,2,0
2011,25,9,0
2013,26,6,0
2013,27,29,0
2012,28,50,0
2009,28,1,0
2012,29,7,0
2008,36,14,0
2011,30,8,0
2010,31,10,0
2007,27,39,0
2013,26,1,0
2007,31,5,0
2012,27,50,0
2007,34,50,0
2007,37,1,0
2009,28,4,0
2014,40,4,0
2009,21,6,0
2010,33,2,0
2013,37,14,0
2011,28,17,0
2008,34,2,0
2013,29,2,0
2018,29,9,0
2007,31,50,0
2007,34,3,0
2017,36,1,0
2014,30,1,0
2013,32,50,1
2015,23,5,0
2017,34,2,0
2007,35,2,0
2010,27,50,0
2010,31,1,0
2007,25,2,0
2015,30,44,0
2014,26,50,0
2010,38,1,0
2007,33,1,0
2016,39,15,0
2009,31,4,0
2016,30,1,0
2013,28,27,0
2009,28,2,0
2010,39,5,0
2008,32,3,0
2007,23,1,0
2013,31,2,0
2015,34,5,0
2017,39,7,0
2011,29,6,0
2014,36,29,1
2013,29,45,0
2010,33,22,0
2013,30,5,0
2007,36,1,0
2014,24,2,0
2016,38,14,0
2007,36,6,0
2011,35,3,0
2014,31,50,0
2017,35,4,0
2007,37,1,0
2017,30,1,0
2018,35,2,0
2013,31,3,0
2016,33,25,1
2018,27,1,0
2014,32,23,0
2011,25,3,0
2017,33,50,1
2012,29,50,1
2007,22,2,0
2012,30,50,1
2007,37,1,0
2013,30,27,0
2009,37,1,0
2015,30,3,0
2014,33,50,0
2010,34,1,0
2007,21,4,0
2012,27,50,0
2011,29,2,0
2008,32,50,0
2007,30,2,0
2017,36,2,0
2011,31,2,0
2009,37,45,0
2009,20,3,0
2014,25,19,0
2007,37,50,0
2007,35,50,1
2017,39,8,0
2010,29,45,0
2011,24,2,0
2014,25,3,0
2014,33,7,0
2013,39,6,0
2018,39,1,0
2013,26,1,0
2012,30,10,0
2017,32,5,0
2009,34,4,0
2014,35,7,0
2012,33,6,1
2016,29,4,0
2008,23,2,0
2018,32,6,0
2018,31,6,0
2012,27,1,0
2015,27,4,0
2010,26,6,0
2009,31,2,0
2015,23,8,0
