YEAR,WEEK,NUMBER,RESULT
2019,26,10,0
2018,25,24,1
2018,25,50,0
2019,26,40,0
2019,26,25,0
2019,26,1,0
2019,26,7,0
2019,26,4,0
2018,25,19,0
2018,25,46,0
2019,26,12,0
2019,26,4,0
2019,26,2,0
2009,28,1,0
2018,25,39,0
2011,37,12,0
2018,25,1,0
2018,25,1,0
2018,25,33,0
2018,25,50,1
2012,36,19,0
2018,25,4,0
2007,33,2,0
2011,35,27,0
2018,25,50,0
2010,39,6,0
2015,31,3,0
2016,24,1,0
2012,32,4,0
2015,30,2,0
2011,35,7,0
2010,33,6,0
2008,23,1,0
2007,39,1,0
2014,25,16,0
2019,27,2,0
2019,27,1,0
2019,27,4,1
2019,27,1,0
2007,34,8,0
2019,27,7,0
2019,27,2,0
2019,27,2,0
2019,27,1,0
2019,27,3,0
2019,27,1,0
2019,27,15,0
2019,27,4,0
2019,27,2,0
2019,27,1,0
2019,27,1,0
2019,27,2,0
2013,34,5,0
2019,27,5,0
2019,27,13,0
2019,27,38,0
2019,27,1,0
2019,27,4,0
2011,30,46,0
2012,38,8,0
2013,30,8,0
2019,27,2,0
2019,27,45,0
2019,27,9,0
2019,27,4,0
2019,27,3,0
2019,27,4,0
2019,27,1,0
2015,35,27,1
2019,27,2,0
2019,27,5,0
2019,27,7,0
2019,27,2,0
2019,27,2,0
2019,27,2,0
2019,27,3,0
2019,27,3,0
2019,27,7,0
2019,27,6,0
2019,27,10,0
2019,27,16,0
2019,27,1,0
2019,27,3,0
2019,27,3,0
2019,27,2,0
2019,27,4,0
2019,27,12,0
2019,27,2,0
2019,27,3,0
2019,27,2,0
2019,27,5,0
2019,27,3,0
2019,27,36,0
2019,27,6,0
2011,31,1,0
2019,27,9,0
2019,27,7,0
2019,27,3,0
2019,27,2,0
2019,27,1,0
2019,27,1,0
2018,26,4,0
2019,27,3,0
2019,27,14,0
2019,27,7,0
2019,27,1,0
2009,26,5,0
2019,27,3,0
2018,26,39,0
2019,27,1,0
2007,29,1,0
2018,26,50,0
2019,27,1,0
2019,27,1,0
2018,26,50,1
2018,26,50,1
2019,27,32,0
2012,30,1,1
2019,27,14,0
2019,27,1,0
2019,27,2,0
2019,27,2,0
2019,27,1,0
2019,27,20,0
2019,27,1,0
2018,26,50,1
2009,27,4,0
2011,36,1,0
2019,27,1,0
2019,27,14,0
2019,27,2,0
2019,27,21,0
2019,27,9,0
2016,29,47,1
2018,26,10,0
2018,26,50,0
2019,27,5,0
2013,34,13,0
2019,27,2,0
2019,27,11,0
2019,27,10,0
2018,26,50,0
2019,27,3,0
2018,26,50,0
2019,27,3,0
2018,26,32,0
2019,27,3,0
2008,32,2,0
2018,26,4,0
2019,27,1,0
2019,27,7,0
2010,38,8,0
2018,26,50,1
2019,27,4,0
2013,37,50,0
2019,27,1,0
2019,27,1,0
2019,27,2,0
2013,27,5,0
2018,26,50,0
2010,28,2,0
2018,26,33,0
2019,27,1,0
2018,26,44,0
2019,27,3,0
2018,26,33,0
2019,27,4,0
2018,26,50,1
2019,27,12,0
2007,34,6,0
2019,27,3,0
2018,26,1,0
2019,27,1,0
2019,27,11,0
2019,27,4,0
2018,26,37,0
2016,24,5,0
2019,27,2,0
2018,26,50,0
2019,27,5,0
2019,27,11,0
2019,27,2,0
2018,26,50,0
2018,26,50,0
2019,27,6,0
2018,26,50,0
2019,27,6,0
2016,25,50,0
2016,23,19,0
2019,27,1,0
2019,27,1,0
2018,26,50,0
2012,27,9,0
2018,26,50,0
2018,26,28,0
2016,30,50,1
2013,38,22,0
2010,28,24,0
2018,26,28,0
2018,26,50,0
2018,26,26,0
2011,29,2,0
2018,24,2,0
2018,26,46,0
2010,33,50,1
2008,28,1,0
2018,26,50,0
2018,26,50,0
2010,32,13,0
2016,27,18,1
2018,26,50,0
2018,25,12,0
2018,26,44,1
2018,26,50,0
2018,24,31,0
2018,25,50,0
2009,25,50,0
2011,27,15,0
2018,27,50,1
2018,27,1,0
2007,22,2,0
2013,37,18,1
2011,33,15,0
2012,27,19,1
2019,28,5,0
2011,33,2,0
2014,25,14,0
2011,29,25,0
2009,29,1,0
2016,27,50,1
2018,27,49,0
2018,27,32,0
2018,27,5,0
2018,27,7,0
2018,27,2,0
2014,37,9,0
2018,27,31,0
2018,27,2,0
2014,31,2,0
2018,27,2,0
2018,27,48,0
2010,31,4,0
2018,27,46,0
2018,27,50,0
2012,31,50,1
2018,27,13,0
2007,28,1,0
2018,27,36,0
2018,27,47,0
2018,27,50,0
2018,27,44,0
2011,32,1,0
2018,27,10,0
2012,35,50,0
2018,27,9,0
2009,27,14,0
2018,27,12,0
2019,28,2,0
2019,28,7,0
2019,28,32,0
2019,28,3,0
2019,28,27,0
2019,28,4,0
2019,28,6,0
2019,28,4,0
2019,28,12,0
2019,28,4,0
2019,28,21,0
2019,28,14,0
2019,28,5,0
2009,30,2,0
2019,28,3,0
2019,28,5,0
2019,28,1,0
2019,28,1,0
2019,28,28,0
2019,28,8,0
2019,28,2,0
2019,28,33,0
2007,32,46,0
2019,28,35,0
2019,28,5,0
2007,32,20,0
2019,28,18,0
2012,33,11,1
2019,28,2,0
2019,28,10,0
2019,28,5,0
2019,28,12,0
2019,28,50,0
2019,28,1,0
2019,28,1,0
2019,28,6,0
2019,28,2,0
2019,28,3,0
2019,28,18,0
2019,28,15,0
2019,28,5,0
2019,28,15,0
2019,28,3,0
2018,28,4,0
2019,28,5,0
2019,28,4,0
2019,28,3,0
2019,28,12,0
2019,28,8,0
2016,27,14,0
2019,28,5,0
2019,28,6,0
2019,28,3,0
2019,28,2,0
2014,32,16,0
2019,28,4,0
2019,28,9,0
2015,23,18,0
2019,28,1,0
2019,28,8,0
2019,28,3,0
2019,28,1,0
2019,28,9,0
2019,28,5,0
2019,28,1,0
2019,28,1,0
2019,28,6,0
2019,28,8,0
2019,28,20,0
2019,28,12,0
2019,28,46,0
2019,28,4,0
2019,28,8,0
2011,39,3,0
2019,28,31,0
2019,28,3,0
2019,28,10,0
2009,33,50,0
2019,28,7,0
2019,28,1,0
2019,28,7,0
2019,28,5,0
2019,28,4,0
2019,28,7,0
2019,28,47,0
2019,28,4,0
2019,28,2,0
2019,28,6,0
2019,28,17,0
2019,28,1,0
2019,28,3,0
2019,28,30,0
2019,28,10,0
2019,28,35,0
2019,28,11,0
2019,28,14,0
2019,28,6,0
2011,33,3,0
2019,28,31,0
2019,28,4,0
2019,28,2,0
2019,28,9,0
2019,28,6,0
2019,28,26,0
2019,28,2,0
2019,28,6,0
2019,28,6,0
2019,28,16,0
2019,28,7,0
2019,28,3,0
2019,28,11,0
2019,28,3,0
2019,28,1,0
2019,28,20,0
2019,28,3,0
2019,28,5,0
2018,28,2,0
2019,28,6,0
2009,29,1,0
2019,28,4,0
2019,28,1,0
2019,28,6,0
2019,28,11,0
2019,28,3,0
2019,28,20,0
2019,28,50,0
2019,28,7,0
2019,28,11,0
2019,28,1,0
2013,23,1,0
2019,28,1,0
2019,28,10,0
2009,24,50,0
2019,28,5,0
2019,28,12,0
2018,28,11,0
2018,28,1,0
2019,28,1,0
2019,28,8,0
2019,28,1,0
2010,29,6,0
2007,23,3,0
2008,33,3,0
2019,28,10,0
2019,28,18,0
2019,28,2,0
2019,28,3,0
2019,28,4,0
2019,28,16,0
2019,28,11,0
2019,28,2,0
2013,33,3,0
2019,28,3,0
2019,28,1,0
2019,28,1,0
2019,28,1,0
2019,28,2,0
2019,28,7,0
2019,28,36,0
2019,28,15,0
2019,28,8,0
2019,28,6,0
2019,28,13,0
2019,28,9,0
2019,28,3,0
2019,28,7,0
2018,28,7,0
2007,33,22,0
2018,28,15,1
2015,31,11,1
2007,29,1,0
2011,27,23,0
2018,28,32,1
2011,33,24,0
2014,28,17,0
2007,28,43,0
2018,28,9,0
2018,28,2,0
2018,28,7,0
2018,28,2,0
2018,28,5,0
2016,31,8,0
2018,28,4,0
2012,28,2,0
2011,29,3,0
2015,38,3,0
2013,38,13,1
2018,28,17,0
2008,29,6,0
2018,28,8,0
2015,24,50,0
2018,28,3,0
2012,31,1,0
2013,24,37,0
2015,31,15,1
2012,33,1,0
2007,29,6,0
2018,28,3,0
2008,35,34,1
2015,35,3,0
2013,36,37,0
2012,29,11,0
2013,27,35,0
2019,29,2,0
2014,30,3,0
2012,33,8,1
2009,29,12,0
2015,26,43,0
2013,30,16,0
2012,31,34,1
2012,31,2,0
2015,38,14,0
2019,29,2,0
2019,29,1,0
2019,29,1,0
2019,29,5,0
2019,29,4,0
2019,29,1,0
2019,29,3,0
2019,29,2,0
2019,29,50,0
2010,39,3,0
2019,29,4,0
2019,29,4,0
2019,29,8,0
2019,29,4,0
2019,29,2,0
2019,29,1,0
2019,29,1,0
2019,29,1,0
2019,29,4,0
2019,29,1,0
2019,29,10,0
2019,29,2,0
2019,29,12,0
2019,29,3,0
2019,29,12,0
2019,29,10,0
2019,29,2,0
2019,29,3,0
2019,29,3,0
2019,29,5,0
2019,29,9,0
2019,29,30,0
2019,29,6,0
2019,29,8,0
2019,29,2,0
2018,29,3,0
2019,29,3,0
2009,21,11,0
2019,29,4,0
2019,29,3,0
2013,24,50,0
2019,29,1,0
2019,29,1,0
2019,29,7,0
2019,29,6,0
2019,29,1,0
2019,29,19,0
2019,29,10,0
2015,38,2,0
2019,29,26,0
2019,29,42,0
2009,24,50,0
2019,29,3,0
2019,29,2,0
2019,29,3,0
2019,29,3,0
2019,29,8,0
2019,29,29,1
2019,29,2,0
2019,29,2,0
2014,25,27,0
2019,29,9,0
2019,29,5,0
2019,29,30,0
2014,39,11,0
2019,29,2,0
2014,34,9,0
2019,29,6,0
2019,29,2,0
2019,29,15,0
2008,36,31,1
2019,29,2,0
2019,29,7,0
2019,29,2,0
2019,29,2,0
2018,29,2,0
2019,29,7,0
2019,29,2,0
2019,29,2,0
2019,29,6,0
2019,29,1,0
2019,29,5,0
2019,29,1,0
2019,29,9,0
2019,29,11,0
2019,29,28,0
2019,29,2,0
2019,29,2,0
2019,29,5,0
2019,29,5,0
2019,29,2,0
2019,29,11,0
2018,29,43,1
2013,33,3,0
2019,29,2,0
2019,29,1,0
2018,29,8,0
2013,39,2,0
2019,29,2,0
2019,29,1,0
2019,29,2,0
2019,29,5,0
2019,29,2,0
2019,29,15,0
2019,29,7,0
2019,29,28,0
2019,29,2,0
2019,29,2,0
2018,29,42,1
